a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
South Africa,Australia,Australia,Johannesburg,17-Apr-09,288.2004267,55.21515302,290.0378191,73.77888473
Australia,Pakistan,Pakistan,Dubai (DSC),22-Apr-09,258.3212355,84.90181381,284.6255979,79.59609035
Australia,Pakistan,Australia,Dubai (DSC),24-Apr-09,269.6590491,62.16210253,246.3695979,79.59609035
Australia,Pakistan,Australia,Abu Dhabi,27-Apr-09,272.5090491,84.90181381,247.4695979,65.15819727
Australia,Pakistan,Australia,Abu Dhabi,1-May-09,232.0608664,75.52732821,245.7362645,66.63277445
Australia,Pakistan,Pakistan,Abu Dhabi,3-May-09,234.577533,55.59273012,245.1195979,67.10259829
England,West Indies,England,Bristol,24-May-09,283.5196472,65.6646557,281.6897219,54.30925867
England,West Indies,England,Birmingham,26-May-09,283.7055599,65.6646557,257.9431839,66.70873373
West Indies,India,India,Kingston,26-Jun-09,225.9576366,55.16227669,220.2112315,34.89135632
West Indies,India,West Indies,Kingston,28-Jun-09,237.3159699,55.62789884,225.8395649,45.61982011
West Indies,India,India,Gros Islet,3-Jul-09,233.6176366,55.16227669,225.4178982,45.61982011
West Indies,Bangladesh,Bangladesh,Roseau,26-Jul-09,164.7202821,56.1752555,117.7373762,19.14207793
West Indies,Bangladesh,Bangladesh,Roseau,28-Jul-09,174.6202821,56.1752555,126.1373762,8.129882813
Sri Lanka,Pakistan,Sri Lanka,Dambulla,30-Jul-09,307.4967753,81.84616748,266.443212,82.02304857
West Indies,Bangladesh,Bangladesh,Basseterre,31-Jul-09,177.6369488,54.1875801,99.82281953,11.01219512
Sri Lanka,Pakistan,Sri Lanka,Dambulla,1-Aug-09,335.1642807,81.84616748,269.4615454,82.02304857
Sri Lanka,Pakistan,Sri Lanka,Dambulla,3-Aug-09,336.2389632,79.86203302,262.6843236,71.51007512
Sri Lanka,Pakistan,Pakistan,Colombo (RPS),7-Aug-09,301.5067175,69.65551474,263.6786094,68.68136867
Sri Lanka,Pakistan,Pakistan,Colombo (RPS),9-Aug-09,303.9736619,69.65551474,275.7231302,65.96702673
England,Australia,Australia,The Oval,4-Sep-09,259.6624526,82.06567823,204.1939794,59.20180362
England,Australia,Australia,Lord's,6-Sep-09,271.0198336,82.06567823,290.4089627,55.21862827
Sri Lanka,New Zealand,Sri Lanka,Colombo (RPS),8-Sep-09,217.2505729,76.66201546,266.1440424,82.00996603
England,Australia,Australia,Southampton,9-Sep-09,271.1624526,82.06567823,289.3123357,55.21862827
India,New Zealand,India,Colombo (RPS),11-Sep-09,283.5829746,55.16227669,259.7300953,78.37898257
Sri Lanka,India,Sri Lanka,Colombo (RPS),12-Sep-09,281.9210464,55.16227669,302.2938647,82.00996603
England,Australia,Australia,Lord's,12-Sep-09,293.435186,70.1608644,250.9703097,34.82938894
Sri Lanka,India,India,Colombo (RPS),14-Sep-09,295.9832294,55.16227669,304.1400343,82.00996603
England,Australia,Australia,Nottingham,15-Sep-09,293.6835194,66.43845096,245.3798686,43.64035576
England,Australia,Australia,Nottingham,17-Sep-09,279.5699881,79.77374074,248.4400418,55.73223474
England,Australia,England,Chester-le-Street,20-Sep-09,279.8942542,75.49630582,259.0835165,43.37114725
South Africa,Sri Lanka,Sri Lanka,Centurion,22-Sep-09,282.9954033,57.86294615,234.081945,85.53106264
Pakistan,West Indies,Pakistan,Johannesburg,23-Sep-09,299.4306013,80.72104714,92.07281953,21.74108401
South Africa,New Zealand,South Africa,Centurion,24-Sep-09,219.0351875,67.88060728,281.0537366,57.86294615
England,Sri Lanka,England,Johannesburg,25-Sep-09,215.0691267,47.3543226,231.2152784,85.53106264
India,Pakistan,Pakistan,Centurion,26-Sep-09,293.1000721,55.16227669,306.00518,80.72104714
Australia,West Indies,Australia,Johannesburg,26-Sep-09,271.5610595,77.48564136,94.72281953,11.01219512
South Africa,England,England,Centurion,27-Sep-09,223.8108324,47.3543226,281.9624511,57.86294615
New Zealand,Sri Lanka,New Zealand,Johannesburg,27-Sep-09,220.4601875,78.23094392,271.1923757,82.00996603
England,New Zealand,New Zealand,Johannesburg,29-Sep-09,223.9658324,59.20180362,181.8461607,75.08950228
India,West Indies,India,Johannesburg,30-Sep-09,243.4896724,36.67105319,94.4394862,11.01219512
Australia,Pakistan,Australia,Centurion,30-Sep-09,268.4377262,77.48564136,297.03506,76.72078555
Australia,England,Australia,Centurion,2-Oct-09,279.3728849,77.48564136,229.119344,43.37114725
New Zealand,Pakistan,New Zealand,Johannesburg,3-Oct-09,173.4711607,75.08950228,285.8206562,80.72104714
Australia,New Zealand,Australia,Centurion,5-Oct-09,276.7883244,77.48564136,190.0000068,72.4459118
India,Australia,Australia,Vadodara,25-Oct-09,226.0094678,77.48564136,270.3793853,47.06804184
India,Australia,India,Nagpur,28-Oct-09,250.9377342,59.86907855,277.3074648,47.06804184
India,Australia,India,Delhi,31-Oct-09,162.7770033,50.49459295,281.4799104,47.06804184
India,Australia,Australia,Mohali,2-Nov-09,207.6590299,50.49459295,274.7550038,47.06804184
